,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl,positions,strategy_pnl
48,2809,AXISBANK,OPTSTK,2021-09-30,810.0,PE,28.35,29.65,22.0,23.1,23.1,440,4409.82,236400,48000,2021-09-02,805.95,28.0,23.5595703125,-0.5176237893471889,-0.374288116672061,0.007578407759579195,0.8896653994794887,24.8,1.6999999999999993,,
181,5124,AXISBANK,OPTSTK,2021-11-25,810.0,PE,0.0,0.0,0.0,109.7,79.55,0,0.0,0,0,2021-09-03,807.8,83.0,70.9228515625,-0.4360229548547977,-0.6481145014178354,0.0014414332098117322,1.5169582844614025,22.15,-87.55000000000001,,
165,5029,AXISBANK,OPTSTK,2021-10-28,800.0,PE,29.0,35.6,29.0,35.6,61.15,6,59.94,3600,1200,2021-09-03,803.5,55.0,30.09033203125,-0.46184907479423887,-0.3388232752084594,0.004231266447300484,1.2386224330866,17.0,-18.6,,
162,4982,AXISBANK,OPTSTK,2021-10-28,800.0,CE,40.9,42.0,32.0,35.4,35.4,167,1674.12,160800,100800,2021-09-03,803.5,55.0,27.099609375,0.5374836660640393,-0.3051958045413318,0.004698979988036961,1.2388200152625448,21.0,-14.399999999999999,,
147,4935,AXISBANK,OPTSTK,2021-09-30,800.0,PE,17.05,24.95,14.95,18.9,18.9,3166,31134.31,885600,-18000,2021-09-03,800.8,27.0,22.216796875,-0.48135477345794764,-0.3570940394564892,0.008235584803463723,0.8679504178367484,17.0,-1.8999999999999986,,
180,5077,AXISBANK,OPTSTK,2021-11-25,810.0,CE,0.0,0.0,0.0,53.7,74.5,0,0.0,0,0,2021-09-03,807.8,83.0,35.64453125,0.5274999205699216,-0.32919854505489893,0.0028985930992120037,1.533109191304437,16.2,-37.5,,
144,4888,AXISBANK,OPTSTK,2021-09-30,800.0,CE,24.0,27.65,16.0,19.65,19.65,6743,66401.01,2911200,638400,2021-09-03,800.8,27.0,22.1710205078125,0.5186340290491198,-0.35635873678335606,0.008252599602121375,0.8679515577336799,21.0,1.3500000000000014,,
200,7116,AXISBANK,OPTSTK,2021-10-28,810.0,CE,0.0,0.0,0.0,31.2,58.7,0,0.0,12000,0,2021-09-06,806.75,52.0,26.9775390625,0.5045596370697576,-0.315097460641316,0.004856072422385395,1.2147192459170169,11.3,-19.9,,
182,7021,AXISBANK,OPTSTK,2021-09-30,800.0,CE,20.55,23.3,17.85,21.0,21.0,3265,32169.86,3030000,118800,2021-09-06,804.1,24.0,23.0712890625,0.546168922194623,-0.3927250625433119,0.008330050462854663,0.8170676094869361,14.8,-6.199999999999999,,
185,7068,AXISBANK,OPTSTK,2021-09-30,800.0,PE,19.85,19.85,15.3,17.0,17.0,2296,22518.26,1002000,116400,2021-09-06,804.1,24.0,23.193359375,-0.4539492739409092,-0.394816614007035,0.008286494393860408,0.8170958404915276,23.55,6.550000000000001,,
202,7163,AXISBANK,OPTSTK,2021-10-28,810.0,PE,0.0,0.0,0.0,129.65,63.5,0,0.0,0,0,2021-09-06,806.75,52.0,105.87310791015625,-0.4247539494533557,-1.214614616441735,0.0012153800156013033,1.1931256444944958,30.4,-99.25,,
210,7257,AXISBANK,OPTSTK,2021-11-25,810.0,PE,0.0,0.0,0.0,109.7,76.8,0,0.0,0,0,2021-09-06,809.15,80.0,72.6318359375,-0.4337123437446221,-0.6765403766536633,0.0014298960283169447,1.4903445419957806,30.4,-79.30000000000001,,
208,7210,AXISBANK,OPTSTK,2021-11-25,810.0,CE,0.0,0.0,0.0,53.7,74.3,0,0.0,0,0,2021-09-06,809.15,80.0,35.82763671875,0.5309294938244215,-0.3373867437164412,0.0029305995189435417,1.5067105714617162,11.3,-42.400000000000006,,
260,9389,AXISBANK,OPTSTK,2021-11-25,800.0,PE,0.0,0.0,0.0,103.25,76.75,0,0.0,0,0,2021-09-07,796.25,79.0,68.71795654296875,-0.4422957394518595,-0.636011144529927,0.0015507729683493707,1.4623508307161763,20.3,-82.95,,
228,9294,AXISBANK,OPTSTK,2021-10-28,790.0,PE,0.0,0.0,0.0,29.85,58.15,0,0.0,12000,0,2021-09-07,793.55,51.0,26.77154541015625,-0.4622210445375755,-0.30920260112190573,0.0050011573978763785,1.1780666685932015,15.4,-14.450000000000001,,
216,9153,AXISBANK,OPTSTK,2021-09-30,790.0,CE,25.2,25.25,16.9,19.25,19.25,3112,30240.68,865200,451200,2021-09-07,790.9,23.0,23.74267578125,0.5195020657872645,-0.40832091854341057,0.00845321693955927,0.7910971124758381,21.0,1.75,,
224,9247,AXISBANK,OPTSTK,2021-10-28,790.0,CE,0.0,0.0,0.0,50.55,60.2,0,0.0,0,0,2021-09-07,793.55,51.0,41.3360595703125,0.542317699709889,-0.47686934260381486,0.003235307186026508,1.1767128616323839,21.0,-29.549999999999997,,
256,9342,AXISBANK,OPTSTK,2021-11-25,800.0,CE,0.0,0.0,0.0,47.05,71.15,0,0.0,2400,0,2021-09-07,796.25,79.0,33.04290771484375,0.5184637370891408,-0.308732488619105,0.003255740546733228,1.476254257730031,16.05,-30.999999999999996,,
218,9200,AXISBANK,OPTSTK,2021-09-30,790.0,PE,14.05,21.85,13.5,18.1,18.1,2287,22180.81,393600,-80400,2021-09-07,790.9,23.0,23.4375,-0.48055144276587264,-0.40307522108682625,0.008563341027517962,0.7911023005864112,15.4,-2.700000000000001,,
86,11475,AXISBANK,OPTSTK,2021-11-25,800.0,CE,0.0,0.0,0.0,47.05,74.2,0,0.0,2400,0,2021-09-08,798.25,78.0,32.5469970703125,0.5241903466254988,-0.30657505336494323,0.003315583491407106,1.4694353590167313,13.65,-33.4,,
91,11522,AXISBANK,OPTSTK,2021-11-25,800.0,PE,0.0,0.0,0.0,103.25,73.0,0,0.0,0,0,2021-09-08,798.25,78.0,69.76318359375,-0.43862406230841816,-0.6505354550264834,0.001531310973258354,1.4546860644304542,21.9,-81.35,,
288,11287,AXISBANK,OPTSTK,2021-09-30,800.0,CE,14.3,18.25,13.3,16.05,16.05,6078,59562.52,3967200,213600,2021-09-08,795.6,22.0,23.25439453125,0.47287006296900286,-0.4108812568273253,0.008762732798033943,0.7774347887711062,13.65,-2.4000000000000004,,
289,11334,AXISBANK,OPTSTK,2021-09-30,800.0,PE,25.0,25.5,19.5,20.3,20.3,1364,13441.82,1057200,168000,2021-09-08,795.6,22.0,23.0712890625,-0.5275245431924743,-0.40761826568000226,0.00883167801059217,0.7773819504117749,21.9,1.5999999999999979,,
290,11381,AXISBANK,OPTSTK,2021-10-28,800.0,CE,32.5,33.7,30.75,31.95,58.5,11,109.87,140400,-1200,2021-09-08,797.95,50.0,27.9541015625,0.5107431087157512,-0.3292398133425375,0.0048305076182289415,1.1777871401319069,13.65,-18.299999999999997,,
295,11428,AXISBANK,OPTSTK,2021-10-28,800.0,PE,0.0,0.0,0.0,37.1,59.65,0,0.0,3600,0,2021-09-08,797.95,50.0,30.57861328125,-0.48647143626643846,-0.36007444062906674,0.004414974744136137,1.1775368533466324,21.9,-15.200000000000003,,
232,13608,AXISBANK,OPTSTK,2021-11-25,800.0,CE,0.0,0.0,0.0,47.05,71.05,0,0.0,2400,0,2021-09-09,796.45,77.0,33.4014892578125,0.5190293365090759,-0.31616819931799256,0.003261312017751296,1.4577165203369622,11.9,-35.15,,
236,13655,AXISBANK,OPTSTK,2021-11-25,800.0,PE,0.0,0.0,0.0,103.25,74.5,0,0.0,0,0,2021-09-09,796.45,77.0,69.66781616210938,-0.44192343145948176,-0.6531971642128906,0.0015487657047084903,1.4438856968721074,23.0,-80.25,,
344,13466,AXISBANK,OPTSTK,2021-09-30,790.0,PE,17.15,20.15,15.85,16.35,16.35,1831,17756.52,590400,32400,2021-09-09,791.5,21.0,22.5830078125,-0.4752402386505623,-0.4064612923114579,0.009287025666593634,0.7559389085289159,17.1,0.75,,
375,13560,AXISBANK,OPTSTK,2021-10-28,790.0,PE,0.0,0.0,0.0,29.85,55.75,0,0.0,12000,0,2021-09-09,794.2,49.0,27.5726318359375,-0.45898218033796934,-0.3248927841725959,0.004945915777476747,1.1547498635010813,17.1,-12.75,,
372,13513,AXISBANK,OPTSTK,2021-10-28,790.0,CE,0.0,0.0,0.0,50.55,59.9,0,0.0,0,0,2021-09-09,794.2,49.0,41.86248779296875,0.5442952860568477,-0.49283602890228756,0.003254733817517287,1.153728155652907,16.05,-34.5,,
340,13419,AXISBANK,OPTSTK,2021-09-30,790.0,CE,19.5,21.0,16.5,17.95,17.95,2248,21788.66,970800,265200,2021-09-09,791.5,21.0,22.7203369140625,0.5247410602720932,-0.40893420871906044,0.009230918779377166,0.7559411126324505,16.05,-1.8999999999999986,,
390,15552,AXISBANK,OPTSTK,2021-09-30,790.0,CE,17.45,17.85,15.45,16.05,16.05,2333,22579.68,1218000,247200,2021-09-13,788.45,17.0,24.749755859375,0.495985751504983,-0.49411981191761123,0.0094725078539892,0.6787975485760218,18.35,2.3000000000000007,,
393,15599,AXISBANK,OPTSTK,2021-09-30,790.0,PE,17.7,19.2,15.6,17.1,17.1,1155,11187.83,604800,14400,2021-09-13,788.45,17.0,24.0478515625,-0.5047445115368719,-0.4800969016156836,0.009748793769689271,0.6787839076812848,13.95,-3.150000000000002,,
408,15646,AXISBANK,OPTSTK,2021-10-28,790.0,CE,0.0,0.0,0.0,50.55,56.25,0,0.0,0,0,2021-09-13,791.35,45.0,45.074462890625,0.5358252480003183,-0.5529307181140202,0.0031724533446026632,1.1040345561302773,18.35,-32.199999999999996,,
411,15693,AXISBANK,OPTSTK,2021-10-28,790.0,PE,0.0,0.0,0.0,29.85,54.2,0,0.0,12000,0,2021-09-13,791.35,45.0,27.56500244140625,-0.4736752262798613,-0.33877171591493965,0.005197287243391528,1.1060929342253716,13.95,-15.900000000000002,,
426,15740,AXISBANK,OPTSTK,2021-11-25,790.0,CE,0.0,0.0,0.0,60.8,72.35,0,0.0,0,0,2021-09-13,793.35,73.0,41.93115234375,0.5463031074440585,-0.4037712821034362,0.002663514340037046,1.4058904631054936,18.35,-42.449999999999996,,
431,15787,AXISBANK,OPTSTK,2021-11-25,790.0,PE,0.0,0.0,0.0,97.0,68.0,0,0.0,0,0,2021-09-13,793.35,73.0,70.12939453125,-0.4323846229306491,-0.670098942411403,0.0015802724241086054,1.3950561850133945,13.95,-83.05,,
436,17780,AXISBANK,OPTSTK,2021-10-28,800.0,CE,31.05,34.5,29.75,31.0,31.0,57,569.52,182400,14400,2021-09-14,796.65,44.0,29.541015625,0.5041370825698502,-0.3704050761433084,0.004882180415321871,1.1034030486421755,13.75,-17.25,,
477,17921,AXISBANK,OPTSTK,2021-11-25,800.0,PE,0.0,0.0,0.0,103.25,70.05,0,0.0,0,0,2021-09-14,799.8,72.0,73.09722900390625,-0.4358274226980383,-0.7100387114868493,0.0015164924761901432,1.3987612916030292,19.55,-83.7,,
476,17874,AXISBANK,OPTSTK,2021-11-25,800.0,CE,0.0,0.0,0.0,47.05,70.4,0,0.0,2400,0,2021-09-14,799.8,72.0,33.294677734375,0.5287971894420832,-0.32680612546019905,0.003364345718950665,1.4134415849197908,13.75,-33.3,,
441,17827,AXISBANK,OPTSTK,2021-10-28,800.0,PE,34.9,35.1,30.45,34.0,56.0,16,159.87,78000,9600,2021-09-14,796.65,44.0,29.23583984375,-0.49624462716747625,-0.36658204712965325,0.004933189325342164,1.103413492474232,19.55,-14.45,,
188,17685,AXISBANK,OPTSTK,2021-09-30,790.0,CE,16.85,23.3,16.85,18.35,18.35,2567,24948.2,884400,-333600,2021-09-14,794.1,16.0,24.5208740234375,0.5503311294728875,-0.504208374657782,0.00970757222970618,0.6579972628066689,18.45,0.09999999999999787,,
191,17732,AXISBANK,OPTSTK,2021-09-30,790.0,PE,15.0,15.35,11.9,13.95,13.95,2381,22948.0,645600,40800,2021-09-14,794.1,16.0,24.0631103515625,-0.4490994606905159,-0.4947050829606707,0.009890433228329009,0.6578768257077593,14.3,0.3500000000000014,,
504,20007,AXISBANK,OPTSTK,2021-11-25,800.0,CE,0.0,0.0,0.0,47.05,68.1,0,0.0,2400,0,2021-09-15,799.65,71.0,33.5845947265625,0.5283438169471096,-0.3319300467126553,0.0033596135187868637,1.4034430671845533,21.3,-25.749999999999996,,
480,19865,AXISBANK,OPTSTK,2021-09-30,790.0,PE,14.95,17.7,12.0,14.3,14.3,1885,18216.76,876000,230400,2021-09-15,793.9,15.0,25.2685546875,-0.45154897420438045,-0.5368036837500534,0.009737465681046949,0.6373182285913678,11.35,-2.950000000000001,,
478,19818,AXISBANK,OPTSTK,2021-09-30,790.0,CE,18.0,21.1,15.15,18.45,18.45,3253,31513.92,1128000,243600,2021-09-15,793.9,15.0,25.6500244140625,0.5480379392622596,-0.5449765126073652,0.009593862195792547,0.6373988232641813,26.9,8.45,,
513,20054,AXISBANK,OPTSTK,2021-11-25,800.0,PE,0.0,0.0,0.0,103.25,70.8,0,0.0,0,0,2021-09-15,799.65,71.0,73.5626220703125,-0.4360965888641955,-0.7195182048307684,0.0015179251682084622,1.3889062435581983,15.55,-87.7,,
486,19913,AXISBANK,OPTSTK,2021-10-28,800.0,CE,30.55,33.55,28.2,31.8,31.8,90,897.26,225600,43200,2021-09-15,796.55,43.0,30.6396484375,0.5045825131049856,-0.38856848813236794,0.004762081217776752,1.0906420825143857,21.3,-10.5,,
489,19960,AXISBANK,OPTSTK,2021-10-28,800.0,PE,35.4,37.35,32.55,34.1,56.7,15,150.32,78000,0,2021-09-15,796.55,43.0,29.60205078125,-0.4967024762608818,-0.3754217374684937,0.004929156337988999,1.0906767798243442,15.55,-18.55,,
531,22194,AXISBANK,OPTSTK,2021-11-25,810.0,PE,0.0,0.0,0.0,109.7,70.5,0,0.0,0,0,2021-09-16,810.35,70.0,78.0029296875,-0.43169401955522335,-0.7772117929616978,0.0014200222191634328,1.394943131630535,17.45,-92.25,,
666,21959,AXISBANK,OPTSTK,2021-09-30,810.0,CE,10.45,18.0,9.05,16.55,16.55,11738,116230.0,2826000,478800,2021-09-16,805.35,14.0,29.7698974609375,0.4722580364992146,-0.6673902829969027,0.008475761658816092,0.6277122031889187,15.45,-1.1000000000000014,,
522,22147,AXISBANK,OPTSTK,2021-11-25,810.0,CE,0.0,0.0,0.0,53.7,69.0,0,0.0,0,0,2021-09-16,810.35,70.0,37.841796875,0.5340548282849868,-0.3812789588361207,0.002959899231032022,1.410584555838613,15.45,-38.25,,
668,22006,AXISBANK,OPTSTK,2021-09-30,810.0,PE,25.9,27.55,19.0,20.75,20.75,759,7578.84,222000,39600,2021-09-16,805.35,14.0,29.052734375,-0.5289914029122952,-0.6511671945582894,0.008683044367904654,0.6275719597437067,17.45,-3.3000000000000007,,
674,22053,AXISBANK,OPTSTK,2021-10-28,810.0,CE,31.0,37.35,31.0,36.5,36.5,23,233.11,22800,13200,2021-09-16,807.5,42.0,34.48486328125,0.512789524227393,-0.4483908917373665,0.004221215878986561,1.0922135488476126,15.45,-21.05,,
675,22100,AXISBANK,OPTSTK,2021-10-28,810.0,PE,0.0,0.0,0.0,129.65,56.1,0,0.0,0,0,2021-09-16,807.5,42.0,118.10302734375,-0.4236372394653506,-1.5081959408130232,0.0012105242824725995,1.0726944251780715,17.45,-112.2,,
300,24144,AXISBANK,OPTSTK,2021-09-30,810.0,CE,18.75,23.75,11.7,15.45,15.45,15082,149807.54,2308800,-517200,2021-09-17,807.95,13.0,27.0233154296875,0.4903510130439839,-0.6320595904201087,0.009679092801195074,0.6081248392219529,10.45,-5.0,,
305,24191,AXISBANK,OPTSTK,2021-09-30,810.0,PE,17.9,24.1,12.65,17.45,17.45,3615,35872.26,469200,247200,2021-09-17,807.95,13.0,26.9317626953125,-0.509750808035227,-0.6299143147900854,0.009711935940345391,0.6081210639581638,24.05,6.600000000000001,,
